fname,itp,tp_prob,its,ts_prob
20210130225441.000000.GD.HYJ.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_6000,[875],[0.976547],[1024],[0.972863]
20210130225441.000000.GD.DOX.mseed_15000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_6000,[1114],[0.43811],[1431],[0.935239]
20210130225441.000000.GD.DYXC.mseed_9000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_18000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_6000,[981],[0.877941],[1195],[0.941407]
20210130225441.000000.GD.LTK.mseed_9000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_21000,[1496],[0.942615],[],[]
20210130225441.000000.GD.DYXC.mseed_12000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_0,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_0,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_0,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_0,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_9000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_15000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_24000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_12000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_3000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_12000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_6000,[1200],[0.85783],[1591],[0.883974]
20210130225441.000000.GD.DYXC.mseed_18000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_3000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_15000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_15000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_27000,[2448],[0.963367],[2650],[0.965974]
20210130225441.000000.GD.DOY.mseed_6000,[833],[0.976673],[952],[0.9708]
20210130225441.000000.GD.DFH.mseed_6000,[1122],[0.950827],[1453],[0.731976]
20210130225441.000000.GD.GUL.mseed_9000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_21000,[1496],[0.937729],[],[]
20210130225441.000000.GD.HEP.mseed_6000,[1124],[0.802774],[1433],[0.789314]
20210130225441.000000.GD.LTK.mseed_18000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_21000,[1494],[0.955989],[],[]
20210130225441.000000.GD.GUL.mseed_12000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_30000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_9000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_9000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_24000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_9000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_15000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_24000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_12000,[1164],[0.324241],[],[]
20210130225441.000000.GD.DFH.mseed_12000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_33000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_18000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_12000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_27000,[],[],[2931],[0.804308]
20210130225441.000000.GD.DYXC.mseed_27000,[2375],[0.974354],[2524],[0.966101]
20210130225441.000000.GD.HEP.mseed_15000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_18000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_15000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_36000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_21000,[1496],[0.924307],[],[]
20210130225441.000000.GD.LTK.mseed_30000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_30000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_18000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_15000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_24000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_33000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_21000,[1494],[0.956572],[],[]
20210130225441.000000.GD.DFH.mseed_18000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_21000,[1496],[0.959706],[],[]
20210130225441.000000.GD.DYXC.mseed_33000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_39000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_18000,[],[],[],[]
